,Watched,Date,Day,Rating,movieId,title,genres,release_date,vote_average,vote_count,keywords
45,with gf,11/08/2018,saturday,3,10137,Stuart Little,"Animation, Fantasy, Family, Comedy",17/12/1999,5.8,1000,"brother brother relationship, based on novel, cat, mouse, adoption"
46,with family,23/08/2018,thursday,3,36669,Die Another Day,"Adventure, Action, Thriller",17/11/2002,5.8,1110,"laser, british secret service, secret service agent, space based weapon"
47,with family,02/10/2018,tuesday,3,11674,101 Dalmatians,"Comedy, Family",17/11/1996,5.6,720,"london england, fur, fashion designer, puppy, ""based on childrens book"""
48,with family,13/11/2018,tuesday,3,41513,The Smurfs,"Animation, Family, Adventure, Comedy, Fantasy",29/07/2011,5.5,1200,"moon, magic, based on comic, animation, good vs evil"
49,with gf,16/12/2018,sunday,3,18360,Night at the Museum: Battle of the Smithsonian,"Adventure, Fantasy, Action, Comedy, Family",20/05/2009,5.9,2030,"museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian"
50,with family,26/12/2018,wednesday,3,23437,A Nightmare on Elm Street,"Horror, Mystery, Thriller",30/04/2010,5.5,770,"pedophilia, supernatural, freddy krueger, remake, revenge"
51,with family,08/02/2019,friday,3,10661,You Don't Mess with the Zohan,"Comedy, Action",05/06/2008,5.5,1070,"new york, israel, middle east, hairdresser, ladykiller"
52,with family,26/03/2019,tuesday,3,10022,The Pacifier,"Action, Comedy, Drama, Family, Thriller",04/03/2005,5.8,860,"bodybuilder, children, body guard, scientist, family"
53,with family,08/04/2018,sunday,3,951,Kindergarten Cop,Comedy,21/12/1990,5.8,640,"crime fighter, cook, drug dealer, dying and death, kindergarten"
54,Alone,21/04/2018,saturday,3,9600,Big Momma's House,"Crime, Comedy",31/05/2000,5.6,510,"绝地奶霸, 卧底肥妈, big爆任务, 超级妈妈"
55,with family,13/05/2018,sunday,3,266294,Sisters,Comedy,18/12/2015,5.8,590,"sister sister relationship, childhood home"
56,with family,20/09/2018,thursday,3,109431,Identity Thief,"Comedy, Crime",07/02/2013,5.6,1670,
57,Alone,01/10/2018,monday,3,353491,The Dark Tower,"Action, Western, Science Fiction, Fantasy, Horror",03/08/2017,5.7,690,"gunslinger, based on novel"
58,with family,18/11/2018,sunday,3,98357,Broken City,"Thriller, Crime, Drama",18/01/2013,5.7,600,"mayor, investigation, politics, ex-cop, revenge"
59,with family,27/01/2019,sunday,3,534,Terminator Salvation,"Action, Science Fiction, Thriller",20/05/2009,5.9,2500,"saving the world, artificial intelligence, prophecy, san francisco, cyborg"
60,with family,31/03/2019,sunday,3,3597,I Know What You Did Last Summer,"Horror, Thriller, Mystery",17/10/1997,5.6,700,"secret, blackmail, fisherman, police, high school"
61,Alone,29/04/2019,monday,3,315837,Ghost in the Shell,"Action, Science Fiction, Thriller",29/03/2017,5.9,2550,"philosophy, cyborg, hacker, strong woman, investigation"
