,Watched,Date,Day,Rating,movieId,title,genres,release_date,vote_average,vote_count,keywords
173,Alone,06/08/2018,monday,4.5,747,Shaun of the Dead,"Horror, Comedy",09/04/2004,7.5,2480,"record collection, flower, cheese, pub, surrey"
174,Alone,20/08/2018,monday,4.5,14756,Ip Man,"Drama, Action, History",12/12/2008,7.5,1310,"foreigner, martial arts, katana, bravery, rice"
175,Alone,18/04/2019,thursday,4.5,10191,How to Train Your Dragon,"Fantasy, Adventure, Animation, Family",05/03/2010,7.5,4320,"flying, blacksmith, arena, island, night"
176,Alone,26/05/2018,saturday,4.5,334541,Manchester by the Sea,Drama,18/11/2016,7.5,1550,"sadness, boston, massachusetts, funeral, loss"
177,with gf,03/02/2019,sunday,4.5,50014,The Help,Drama,09/08/2011,7.9,1970,"mississippi, based on novel, exploitation, racial segregation, racism"
178,Alone,06/02/2019,wednesday,4.5,31011,Mr. Nobody,"Science Fiction, Drama, Romance, Fantasy",11/09/2009,7.9,1620,surrealism
179,with gf,27/01/2019,sunday,4.5,180299,The Raid 2,"Action, Crime, Thriller",27/03/2014,7.6,830,"prison, undercover, fight, police, gangster"
180,with gf,21/04/2019,sunday,4.5,396535,Train to Busan,"Action, Horror, Thriller",20/07/2016,7.7,980,"survival, korea, zombie, train, south korea"
181,with gf,03/12/2018,monday,4.5,872,Singin' in the Rain,"Comedy, Music, Romance",10/04/1952,7.9,750,"fan, morning, musical, talkie, partner"
182,with gf,26/04/2019,friday,4.5,387,Das Boot,"Action, Drama, History, War, Adventure",16/09/1981,7.9,620,"terror, submarine, based on novel, atlantic ocean, gibraltar"
183,Alone,31/08/2018,friday,4.5,348,Alien,"Horror, Action, Thriller, Science Fiction",25/05/1979,7.9,4560,"android, countdown, space marine, space suit, beheading"
184,Alone,21/04/2019,sunday,4.5,83666,Moonrise Kingdom,"Comedy, Drama, Romance",16/05/2012,7.6,1700,"new england, first love, eye patch, search party, devastation"
185,with gf,23/06/2018,saturday,4.5,1366,Rocky,Drama,21/11/1976,7.5,1840,"underdog, philadelphia, transporter, italo-american, fight"
186,with gf,19/09/2018,wednesday,4.5,164,Breakfast at Tiffany's,"Comedy, Drama, Romance",05/10/1961,7.6,1080,"loss of brother, age difference, cat, broken engagement, fire escape"
187,Alone,01/05/2018,tuesday,4.5,968,Dog Day Afternoon,"Crime, Drama, Thriller",11/08/1975,7.6,680,"bank, hostage, police, sex change, one day"
188,Alone,30/03/2018,friday,5,205596,The Imitation Game,"History, Drama, Thriller, War",14/11/2014,8,5900,"gay, england, world war ii, mathematician, biography"
189,Alone,02/03/2019,saturday,5,311,Once Upon a Time in America,"Drama, Crime",16/02/1984,8.3,1100,"life and death, corruption, street gang, rape, sadistic"
190,with family,04/10/2018,thursday,5,28,Apocalypse Now,"Drama, War",15/08/1979,8,2110,"guerrilla, river, vietnam, vietcong, cambodia"
191,with gf,12/11/2018,monday,5,19,Metropolis,"Drama, Science Fiction",10/01/1927,8,670,"man vs machine, underground world, inventor, metropolis, worker"
192,with gf,18/02/2019,monday,5,264644,Room,"Drama, Thriller",16/10/2015,8.1,2840,"based on novel, carpet, isolation, kidnapping, imprisonment"
193,Alone,27/06/2018,wednesday,5,120,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",18/12/2001,8,8890,"elves, dwarves, orcs, middle-earth (tolkien), hobbit"
194,Alone,21/02/2019,thursday,5,914,The Great Dictator,Comedy,15/10/1940,8.1,760,"germany, dictator, hairdresser, amnesia, jewish ghetto"
195,with gf,01/04/2018,sunday,5,1124,The Prestige,"Drama, Mystery, Thriller",19/10/2006,8,4510,"competition, secret, obsession, magic, dying and death"
196,with gf,24/04/2018,tuesday,5,12477,Grave of the Fireflies,"Animation, Drama, War",16/04/1988,8.2,970,"japan, brother sister relationship, hunger, world war ii, shelter"
197,with gf,08/05/2018,tuesday,5,103,Taxi Driver,"Crime, Drama",07/02/1976,8.1,2630,"vietnam veteran, taxi, obsession, drug dealer, night shift"
198,with gf,07/07/2018,saturday,5,637,Life Is Beautiful,"Comedy, Drama",20/12/1997,8.3,3640,"italy, riddle, bookshop, self sacrifice, mass murder"
199,with gf,20/09/2018,thursday,5,129,Spirited Away,"Fantasy, Adventure, Animation, Family",20/07/2001,8.3,3970,"witch, parent child relationship, magic, darkness, bath house"
200,with gf,16/10/2018,tuesday,5,105,Back to the Future,"Adventure, Comedy, Science Fiction, Family",03/07/1985,8,6240,"clock tower, car race, terrorist, delorean, lightning"
201,with gf,05/01/2019,saturday,5,122,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",01/12/2003,8.1,8230,"elves, orcs, middle-earth (tolkien), based on novel, suspicion"
202,with gf,17/01/2019,thursday,5,335,Once Upon a Time in the West,Western,21/12/1968,8.1,1160,"showdown, bounty, bounty hunter, loss of brother, sadness"
203,with gf,18/03/2019,monday,5,157336,Interstellar,"Adventure, Drama, Science Fiction",05/11/2014,8.1,11190,"saving the world, artificial intelligence, father son relationship, single parent, nasa"
204,with gf,03/04/2019,wednesday,5,423,The Pianist,"Drama, War",24/09/2002,8.1,1930,"individual, resistance, radio station, war crimes, loss of family"
205,Alone,30/03/2018,friday,5,598,City of God,"Drama, Crime",05/02/2002,8.2,1850,"male nudity, street gang, brazilian, photographer, 1970s"
206,Alone,14/04/2018,saturday,5,111,Scarface,"Action, Crime, Drama, Thriller",08/12/1983,8,3020,"miami, corruption, capitalism, cuba, prohibition"
207,Alone,13/06/2018,wednesday,5,3082,Modern Times,"Drama, Comedy",05/02/1936,8.1,880,"factory, ambulance, invention, tramp, great depression"
208,Alone,29/07/2018,sunday,5,694,The Shining,"Horror, Thriller",22/05/1980,8.1,3890,"hotel, isolation, hotelier, colorado, maze"
209,Alone,12/10/2018,friday,5,510,One Flew Over the Cuckoo's Nest,Drama,18/11/1975,8.3,3000,"individual, rebel, self-destruction, wheelchair, lunatic asylum"
210,Alone,16/12/2018,sunday,5,27205,Inception,"Action, Thriller, Science Fiction, Mystery, Adventure",14/07/2010,8.1,14080,"loss of lover, dream, kidnapping, sleep, subconsciousness"
211,Alone,19/03/2019,tuesday,5,11,Star Wars,"Adventure, Action, Science Fiction",25/05/1977,8.1,6780,"android, galaxy, hermit, death star, lightsaber"
212,Alone,14/04/2019,sunday,5,670,Oldboy,"Drama, Thriller, Mystery, Action",01/01/2003,8,2000,"sushi restaurant, rage and hate, notebook, daughter, hostility"
213,with family,30/07/2018,monday,5,497,The Green Mile,"Fantasy, Drama, Crime",10/12/1999,8.2,4170,"southern usa, black people, mentally disabled, based on novel, heal"
214,with family,28/02/2019,thursday,5,155,The Dark Knight,"Drama, Action, Crime, Thriller",16/07/2008,8.3,12270,"dc comics, crime fighter, secret identity, scarecrow, sadism"
215,with gf,30/08/2018,thursday,5,274,The Silence of the Lambs,"Crime, Drama, Thriller",01/02/1991,8.1,4550,"based on novel, psychopath, horror, suspense, serial killer"
216,Alone,23/09/2018,sunday,5,239,Some Like It Hot,"Comedy, Romance",18/03/1959,8,840,"chicago, witness, musician, mafia, cross dressing"
217,Alone,12/02/2019,tuesday,5,500,Reservoir Dogs,"Crime, Thriller",02/09/1992,8.1,3820,"traitor, jewelry, psychopath, thief, heist"
218,with family,18/04/2018,wednesday,5,73,American History X,Drama,30/10/1998,8.2,3120,"usa, neo-nazi, prison, skinhead, brother brother relationship"
219,Alone,24/06/2018,sunday,5,389,12 Angry Men,Drama,25/03/1957,8.2,2130,"judge, jurors, sultriness, death penalty, father murder"
220,with gf,31/07/2018,tuesday,5,8587,The Lion King,"Family, Animation, Drama",23/06/1994,8,5520,"loss of parents, wild boar, uncle, shaman, redemption"
221,Alone,09/05/2018,wednesday,5,15,Citizen Kane,"Mystery, Drama",30/04/1941,8,1240,"journalist, newspaper, florida, capitalist, banker"
222,Alone,16/11/2018,friday,5,807,Se7en,"Crime, Mystery, Thriller",22/09/1995,8.1,5920,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration"
223,Alone,28/02/2019,thursday,5,244786,Whiplash,Drama,10/10/2014,8.3,4380,"jazz, obsession, conservatory, music teacher, new york city"
224,Alone,14/12/2018,friday,5,10376,The Legend of 1900,Fantasy,28/10/1998,8.1,550,"ocean, ship, pianistin, child prodigy, fondling"
225,Alone,03/07/2018,tuesday,5,120467,The Grand Budapest Hotel,"Comedy, Drama",26/02/2014,8,4640,"hotel, painting, wartime, gunfight, theft"
226,Alone,24/12/2018,monday,5,369557,Sing Street,"Romance, Drama, Music",11/03/2016,8,670,"london england, brother brother relationship, video, dublin, music video"
227,Alone,18/03/2019,monday,5,426,Vertigo,"Mystery, Romance, Thriller",09/05/1958,8,1160,"san francisco, sense of guilt, bachelor, obsession, ""love of ones life"""
228,Alone,05/02/2019,tuesday,5,1891,The Empire Strikes Back,"Adventure, Action, Science Fiction",17/05/1980,8.2,6000,"rebel, android, asteroid, space battle, snow storm"
229,with gf,14/04/2018,saturday,5,207,Dead Poets Society,Drama,02/06/1989,8.1,2790,"individual, philosophy, poetry, shakespeare, professor"
230,Alone,04/10/2018,thursday,5,240,The Godfather: Part II,"Drama, Crime",20/12/1974,8.3,3420,"italo-american, cuba, vororte, melancholy, praise"
231,with gf,12/11/2018,monday,5,550,Fight Club,Drama,15/10/1999,8.3,9680,"support group, dual identity, nihilism, rage and hate, insomnia"
232,Alone,03/05/2018,thursday,5,77338,The Intouchables,"Drama, Comedy",02/11/2011,8.2,5410,"male friendship, masseuse, friendship, aristocrat, interracial friendship"
233,Alone,07/10/2018,sunday,5,429,"The Good, the Bad and the Ugly",Western,23/12/1966,8.1,2370,"bounty hunter, refugee, gold, anti hero, gallows"
234,Alone,18/05/2018,friday,5,101,Leon: The Professional,"Thriller, Crime, Drama",14/09/1994,8.2,4290,"new york, corruption, assassin, police brutality, loss of family"
235,Alone,17/06/2018,sunday,5,567,Rear Window,"Drama, Mystery, Thriller",01/08/1954,8.2,1530,"nurse, photographer, suspicion of murder, girlfriend, neighbor"
236,Alone,02/08/2018,thursday,5,539,Psycho,"Drama, Horror, Thriller",16/06/1960,8.3,2400,"hotel, clerk, arizona, shower, rain"
237,with family,17/08/2018,friday,5,769,GoodFellas,"Drama, Crime",12/09/1990,8.2,3210,"prison, based on novel, florida, 1970s, mass murder"
238,Alone,02/06/2018,saturday,5,128,Princess Mononoke,"Adventure, Fantasy, Animation",12/07/1997,8.2,2040,"fight, wolf, iron, pan, wild boar"
239,with gf,15/08/2018,wednesday,5,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama, Comedy, War",29/01/1964,8,1470,"usa president, general, cold war, strategic air command, nuclear missile"
240,Alone,15/03/2019,friday,5,4935,Howl's Moving Castle,"Fantasy, Animation, Adventure",19/11/2004,8.2,2050,"flying, witch, rain, castle, scarecrow"
241,with gf,24/12/2018,monday,5,1585,It's a Wonderful Life,"Drama, Family, Fantasy",20/12/1946,8,1100,"holiday, angel, based on novel, bank, suicide attempt"
242,Alone,07/05/2019,tuesday,5,331214,Band of Brothers,"Action, Drama, War",09/09/2001,8.2,720,"world war ii, u.s. army, war, paratroops, miniseries"
243,with gf,11/11/2018,sunday,5,975,Paths of Glory,"Drama, War",18/09/1957,8.2,560,"germany, france, general, patriotism, world war i"
244,Alone,07/01/2019,monday,5,121,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",18/12/2002,8,7640,"elves, orcs, middle-earth (tolkien), hobbit, based on novel"
245,Alone,01/08/2018,wednesday,5,185,A Clockwork Orange,"Science Fiction, Drama",18/12/1971,8,3430,"prison, street gang, rape, adolescence, sexuality"
246,with gf,02/08/2018,thursday,5,278,The Shawshank Redemption,"Drama, Crime",23/09/1994,8.5,8360,"prison, corruption, police brutality, prison cell, delinquent"
247,Alone,07/05/2019,tuesday,5,77,Memento,"Mystery, Thriller",11/10/2000,8.1,4170,"individual, insulin, tattoo, waitress, amnesia"
248,Alone,27/09/2018,thursday,5,13,Forrest Gump,"Comedy, Drama, Romance",06/07/1994,8.2,8150,"vietnam veteran, hippie, mentally disabled, running, based on novel"
