,Watched,Day,movieId,title,genres,release_date,vote_average,vote_count,keywords
103,Alone,friday,2501,The Bourne Identity,"Action, Drama, Mystery, Thriller",2002,7.5,3600,"paris, barcelona spain, assassin, based on novel, secret identity"
104,with gf,saturday,65754,The Girl with the Dragon Tattoo,"Thriller, Crime, Mystery, Drama",2011,7.0,2500,"rape, journalist, based on novel, journalism, hacker"
105,Alone,thursday,8055,The Reader,"Drama, Romance",2008,7.0,800,"germany, war crimes, trial, female prisoner, teenager"
106,Alone,monday,68722,The Master,Drama,2012,7.0,700,"post traumatic stress  disorder, sexual obsession, postwar period, drifter, alcoholic"
107,Alone,friday,601,E.T. the Extra-Terrestrial,"Science Fiction, Adventure, Family, Fantasy",1982,7.5,3400,"farewell, homesickness, nasa, extraterrestrial technology, operation"
108,with family,monday,401,Garden State,"Comedy, Drama, Romance",2004,7.0,600,"new jersey, paraplegic, loss of mother, expensive restaurant, pop culture"
109,Alone,friday,82690,Wreck-It Ralph,"Family, Animation, Comedy, Adventure",2012,7.0,4700,"support group, product placement, bullying, racing, arcade"
110,with gf,wednesday,297762,Wonder Woman,"Action, Adventure, Fantasy",2017,7.0,5000,"dc comics, hero, greek mythology, island, world war i"
111,with gf,sunday,69,Walk the Line,"Drama, Music, Romance",2005,7.5,700,"germany, prison, music record, adultery, country music"
112,with gf,tuesday,5825,National Lampoon's Christmas Vacation,Comedy,1989,7.0,700,"holiday, boss, cigar, neighbor, christmas eve"
113,with gf,tuesday,76341,Mad Max: Fury Road,"Action, Adventure, Science Fiction, Thriller",2015,7.5,9600,"future, chase, post-apocalyptic, dystopia, australia"
114,with gf,thursday,813,Airplane!,Comedy,1980,7.0,1100,"chicago, alcohol, cataclysm, guitar, medicine"
115,with gf,sunday,44826,Hugo,"Adventure, Drama, Family",2011,7.0,2200,"library, clock, film director, key, toy"
116,with gf,friday,522,Ed Wood,"Comedy, Drama, History",1994,7.5,600,"individual, taxi, transsexuality, fortune teller, film business"
117,with gf,wednesday,328387,Nerve,"Mystery, Adventure, Crime",2016,7.0,2300,"based on novel, technology, internet, hacking, teenager"
118,Alone,saturday,300671,13 Hours: The Secret Soldiers of Benghazi,"Action, Drama, History, Thriller, War",2016,7.0,1000,"based on novel, assault rifle, mercenary, libya, biography"
119,Alone,wednesday,376660,The Edge of Seventeen,"Comedy, Drama",2016,7.5,1000,"friendship, high school, loneliness, teen angst, coming of age"
120,Alone,saturday,239571,The Best of Me,"Drama, Romance",2014,7.0,800,high school sweetheart
121,Alone,saturday,161,Ocean's Eleven,"Thriller, Crime",2001,7.0,3900,"prison, pickpocket, strip club, con artist, atlantic city"
122,Alone,sunday,8329,[REC],"Horror, Mystery",2007,7.0,1000,"terror, obsession, camcorder, firemen, religion and supernatural"
123,Alone,sunday,10112,The Aristocats,"Animation, Comedy, Family, Adventure",1970,7.0,1300,"paris, cat, butler, return, suspension"
124,Alone,tuesday,68734,Argo,"Drama, Thriller",2012,7.0,3500,"cia, wife husband relationship, revolution, hiding place, press conference"
125,with family,thursday,324849,The Lego Batman Movie,"Action, Animation, Comedy, Family, Fantasy",2017,7.0,1500,"superhero, based on comic, based on toy, spin off, super powers"
126,with family,friday,24428,The Avengers,"Science Fiction, Action, Adventure",2012,7.5,12000,"new york, shield, marvel comic, superhero, based on comic"
127,with gf,friday,11886,Robin Hood,"Animation, Family",1973,7.0,1200,"hero, fox, robin hood, forest, right and justice"
128,Alone,monday,9444,Anastasia,"Animation, Family",1997,7.5,1500,"tzar, musical, russian revolution, train explosion, foreign language adaptation"
129,with gf,saturday,9693,Children of Men,"Drama, Action, Thriller, Science Fiction",2006,7.5,2100,"police state, hippie, rebel, miracle, future"
130,with gf,wednesday,2292,Clerks,Comedy,1994,7.5,800,"salesclerk, loser, aftercreditsstinger"
131,Alone,friday,119450,Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller",2014,7.5,4500,"leader, colony, post-apocalyptic, dystopia, forest"
132,with family,thursday,421,The Life Aquatic with Steve Zissou,"Adventure, Comedy, Drama",2004,7.0,800,"ocean, film making, loss of mother, cynic, red cap"
133,Alone,friday,628,Interview with the Vampire,"Horror, Romance",1994,7.0,1600,"paris, san francisco, vampire, plantation, pity"
134,Alone,tuesday,37135,Tarzan,"Adventure, Animation, Drama, Family",1999,7.0,1700,"gorilla, baby, adoption, feral child, nest"
135,Alone,wednesday,3580,Changeling,"Crime, Drama, Mystery",2008,7.5,1200,"corruption, mother, nudity, minister, power"
136,with gf,sunday,4553,The Machinist,"Thriller, Drama",2004,7.5,1300,"factory, insomnia, post it, machinist, cleaning bathroom tile"
137,with gf,monday,1372,Blood Diamond,"Drama, Thriller, Action",2006,7.5,2300,"rebel, journalist, journalism, loss of family, slavery"
138,Alone,wednesday,3933,Corpse Bride,"Romance, Fantasy, Animation, Music",2005,7.0,2000,"shyness, england, cheating, old town, grave"
139,Alone,saturday,8741,The Thin Red Line,"Drama, History, War",1998,7.0,800,"based on novel, japanese, world war ii, battle assignment, invasion"
140,Alone,friday,2567,The Aviator,Drama,2004,7.0,1500,"ladykiller, pilot, biography, womanizer, aviation"
141,with gf,wednesday,15472,The Girl with the Dragon Tattoo,"Drama, Thriller, Crime, Mystery",2009,7.5,1000,"rape, journalist, based on novel, bondage, island"
142,Alone,friday,228150,Fury,"War, Drama, Action",2014,7.5,4000,"world war ii, nazis, war, nazi germany, panzer"
143,with family,sunday,948,Halloween,"Horror, Thriller",1978,7.5,1100,"female nudity, nudity, mask, babysitter, halloween"
144,with gf,wednesday,321741,Concussion,Drama,2015,7.0,800,"american football, concussion, biography, professional sports, brain damage"
145,Alone,friday,50348,The Lincoln Lawyer,"Crime, Drama, Thriller",2011,7.0,900,"judge, arrest, jury, private investigator"
146,with gf,saturday,808,Shrek,"Adventure, Animation, Comedy, Family, Fantasy",2001,7.5,4200,"magic, liberation, lordship, castle, robin hood"
147,Alone,sunday,8374,The Boondock Saints,"Action, Thriller, Crime",1999,7.0,800,"arbitrary law, boston, twin brother, russian mafia, prologue"
148,with family,friday,62215,Melancholia,"Drama, Science Fiction",2011,7.0,900,"wedding reception, power outage, destruction of planet, wedding toast"
149,with gf,saturday,281957,The Revenant,"Western, Drama, Adventure, Thriller",2015,7.5,6600,"father son relationship, rape, based on novel, mountain, winter"
