,Watched,Day,movieId,title,genres,release_date,vote_average,vote_count,keywords
196,with gf,tuesday,12477,Grave of the Fireflies,"Animation, Drama, War",1988,8.0,1000,"japan, brother sister relationship, hunger, world war ii, shelter"
197,with gf,tuesday,103,Taxi Driver,"Crime, Drama",1976,8.0,2600,"vietnam veteran, taxi, obsession, drug dealer, night shift"
198,with gf,saturday,637,Life Is Beautiful,"Comedy, Drama",1997,8.5,3600,"italy, riddle, bookshop, self sacrifice, mass murder"
199,with gf,thursday,129,Spirited Away,"Fantasy, Adventure, Animation, Family",2001,8.5,4000,"witch, parent child relationship, magic, darkness, bath house"
200,with gf,tuesday,105,Back to the Future,"Adventure, Comedy, Science Fiction, Family",1985,8.0,6200,"clock tower, car race, terrorist, delorean, lightning"
201,with gf,saturday,122,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",2003,8.0,8200,"elves, orcs, middle-earth (tolkien), based on novel, suspicion"
202,with gf,thursday,335,Once Upon a Time in the West,Western,1968,8.0,1200,"showdown, bounty, bounty hunter, loss of brother, sadness"
203,with gf,monday,157336,Interstellar,"Adventure, Drama, Science Fiction",2014,8.0,11200,"saving the world, artificial intelligence, father son relationship, single parent, nasa"
204,with gf,wednesday,423,The Pianist,"Drama, War",2002,8.0,1900,"individual, resistance, radio station, war crimes, loss of family"
205,Alone,friday,598,City of God,"Drama, Crime",2002,8.0,1800,"male nudity, street gang, brazilian, photographer, 1970s"
206,Alone,saturday,111,Scarface,"Action, Crime, Drama, Thriller",1983,8.0,3000,"miami, corruption, capitalism, cuba, prohibition"
207,Alone,wednesday,3082,Modern Times,"Drama, Comedy",1936,8.0,900,"factory, ambulance, invention, tramp, great depression"
208,Alone,sunday,694,The Shining,"Horror, Thriller",1980,8.0,3900,"hotel, isolation, hotelier, colorado, maze"
209,Alone,friday,510,One Flew Over the Cuckoo's Nest,Drama,1975,8.5,3000,"individual, rebel, self-destruction, wheelchair, lunatic asylum"
210,Alone,sunday,27205,Inception,"Action, Thriller, Science Fiction, Mystery, Adventure",2010,8.0,14100,"loss of lover, dream, kidnapping, sleep, subconsciousness"
211,Alone,tuesday,11,Star Wars,"Adventure, Action, Science Fiction",1977,8.0,6800,"android, galaxy, hermit, death star, lightsaber"
212,Alone,sunday,670,Oldboy,"Drama, Thriller, Mystery, Action",2003,8.0,2000,"sushi restaurant, rage and hate, notebook, daughter, hostility"
213,with family,monday,497,The Green Mile,"Fantasy, Drama, Crime",1999,8.0,4200,"southern usa, black people, mentally disabled, based on novel, heal"
214,with family,thursday,155,The Dark Knight,"Drama, Action, Crime, Thriller",2008,8.5,12300,"dc comics, crime fighter, secret identity, scarecrow, sadism"
215,with gf,thursday,274,The Silence of the Lambs,"Crime, Drama, Thriller",1991,8.0,4600,"based on novel, psychopath, horror, suspense, serial killer"
216,Alone,sunday,239,Some Like It Hot,"Comedy, Romance",1959,8.0,800,"chicago, witness, musician, mafia, cross dressing"
217,Alone,tuesday,500,Reservoir Dogs,"Crime, Thriller",1992,8.0,3800,"traitor, jewelry, psychopath, thief, heist"
218,with family,wednesday,73,American History X,Drama,1998,8.0,3100,"usa, neo-nazi, prison, skinhead, brother brother relationship"
219,Alone,sunday,389,12 Angry Men,Drama,1957,8.0,2100,"judge, jurors, sultriness, death penalty, father murder"
220,with gf,tuesday,8587,The Lion King,"Family, Animation, Drama",1994,8.0,5500,"loss of parents, wild boar, uncle, shaman, redemption"
221,Alone,wednesday,15,Citizen Kane,"Mystery, Drama",1941,8.0,1200,"journalist, newspaper, florida, capitalist, banker"
222,Alone,friday,807,Se7en,"Crime, Mystery, Thriller",1995,8.0,5900,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration"
223,Alone,thursday,244786,Whiplash,Drama,2014,8.5,4400,"jazz, obsession, conservatory, music teacher, new york city"
224,Alone,friday,10376,The Legend of 1900,Fantasy,1998,8.0,600,"ocean, ship, pianistin, child prodigy, fondling"
225,Alone,tuesday,120467,The Grand Budapest Hotel,"Comedy, Drama",2014,8.0,4600,"hotel, painting, wartime, gunfight, theft"
226,Alone,monday,369557,Sing Street,"Romance, Drama, Music",2016,8.0,700,"london england, brother brother relationship, video, dublin, music video"
227,Alone,monday,426,Vertigo,"Mystery, Romance, Thriller",1958,8.0,1200,"san francisco, sense of guilt, bachelor, obsession, ""love of ones life"""
228,Alone,tuesday,1891,The Empire Strikes Back,"Adventure, Action, Science Fiction",1980,8.0,6000,"rebel, android, asteroid, space battle, snow storm"
229,with gf,saturday,207,Dead Poets Society,Drama,1989,8.0,2800,"individual, philosophy, poetry, shakespeare, professor"
230,Alone,thursday,240,The Godfather: Part II,"Drama, Crime",1974,8.5,3400,"italo-american, cuba, vororte, melancholy, praise"
231,with gf,monday,550,Fight Club,Drama,1999,8.5,9700,"support group, dual identity, nihilism, rage and hate, insomnia"
232,Alone,thursday,77338,The Intouchables,"Drama, Comedy",2011,8.0,5400,"male friendship, masseuse, friendship, aristocrat, interracial friendship"
233,Alone,sunday,429,"The Good, the Bad and the Ugly",Western,1966,8.0,2400,"bounty hunter, refugee, gold, anti hero, gallows"
234,Alone,friday,101,Leon: The Professional,"Thriller, Crime, Drama",1994,8.0,4300,"new york, corruption, assassin, police brutality, loss of family"
235,Alone,sunday,567,Rear Window,"Drama, Mystery, Thriller",1954,8.0,1500,"nurse, photographer, suspicion of murder, girlfriend, neighbor"
